token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
color relief print and letterpress	color relief print and letterpress	1	""	Print	Relief prints (woodcut, linocut)	Mixed / other relief	""	keyword
Pen and brown ink with traces of red chalk	pen and brown ink with traces of red chalk	1	""	Drawing	Ink	Other ink	""	keyword
color half-tone photographs	color half-tone photographs	1	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
graphite under pen and black ink with black ink wash on cream antique laid paper	graphite under pen and black ink with black ink wash on cream antique laid paper	1	""	Drawing	Ink	Other ink	""	keyword
and supplementary weft-faced compound twill	and supplementary weft-faced compound twill	1	""	Textile	Other textile	Other textile	""	keyword
Tuscan straw	tuscan straw	1	""	Decorative & other materials	Beads, feathers & plant material	Beads, feathers & plant material	""	keyword
archival pigmented inkjet on Rives BFK paper	archival pigmented inkjet on rives bfk paper	1	""	Photograph	Digital / inkjet print	Inkjet / pigment print	""	keyword
graphite and brown graphite on paper	graphite and brown graphite on paper	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
cotton pique and braid	cotton pique and braid	1	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
with collaged screenprint additions	with collaged screenprint additions	1	""	Print	Screenprints & stencils	Screenprint	""	keyword
drawing on verso apparent in skirt of female figure and behind her	drawing on verso apparent in skirt of female figure and behind her	1	""	Drawing	Other drawing media	Other drawing media	""	keyword
embossed color card	embossed color card	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
wood and reed	wood and reed	1	""	Decorative & other materials	Wood	Wood	""	keyword
weft-faced compound S direction	weft-faced compound s direction	1	""	Textile	Other textile	Other textile	""	keyword
embroidery and openwork	embroidery and openwork	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
machine-made lace and net	machine-made lace and net	1	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
2 drypoints on celluloid printed on laid Auvergne paper	2 drypoints on celluloid printed on laid auvergne paper	1	""	Print	Etching & engraving (intaglio)	Drypoint	""	keyword
costume jewelry	costume jewelry	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
oil stick on paper	oil stick on paper	1	""	Painting	Oil	Oil (other support)	""	keyword
Spit bite aquatint and sugar lift aquatint	spit bite aquatint and sugar lift aquatint	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
snake vertebrae	snake vertebrae	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
embroidery (cretan stitch)	embroidery (cretan stitch)	1	""	Textile	Textile technique (weaving, embroidery)	Embroidery	""	keyword
dovetail tapestry weave	dovetail tapestry weave	1	""	Textile	Textile technique (weaving, embroidery)	Tapestry	""	keyword
die cut toys	die cut toys	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Free-blown glass with trailed thread and applied handles	free-blown glass with trailed thread and applied handles	1	""	Textile	Thread & trimmings	Thread & trimmings	""	keyword
Book with 14 illustrations total: 9 screenprints (1 on canvas	book with 14 illustrations total: 9 screenprints (1 on canvas	1	""	Print	Screenprints & stencils	Screenprint	""	keyword
Book with 38 illustrations total: 25 lithographs (some color) on Arches wove paper	book with 38 illustrations total: 25 lithographs (some color) on arches wove paper	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
hand-colored lithograph on paper mounted on (non-archival) paper board	hand-colored lithograph on paper mounted on (non-archival) paper board	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
scraping and burnishing	scraping and burnishing	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
pen knife carving on thick paper	pen knife carving on thick paper	1	""	Drawing	Ink	Other ink	""	keyword
cocoanut fibre	cocoanut fibre	1	""	Textile	Other textile	Other textile	""	keyword
watercolor with graphite on white wove paper	watercolor with graphite on white wove paper	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
metallic appliqué with brilliants	metallic appliqué with brilliants	1	""	Textile	Other textile	Other textile	""	keyword
Monotype with oil paint	monotype with oil paint	1	""	Print	Lithographs (planographic)	Monotype / monoprint	""	keyword
"front endpaper is stamped in gold: ""René Kieffer"""	"front endpaper is stamped in gold: ""rené kieffer"""	1	""	Decorative & other materials	Precious metal (gold, silver)	Gold	""	keyword
silk twill and chiffon	silk twill and chiffon	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
pen and red ink and watercolor wash on cream wove paper	pen and red ink and watercolor wash on cream wove paper	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
Typeset printed in gray	typeset printed in gray	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
mouldmade in England.  Intaglio prints by Pace Editions	mouldmade in england.  intaglio prints by pace editions	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Japon wrappers with lettering on the front and spine	japon wrappers with lettering on the front and spine	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
and bark fiber	and bark fiber	1	""	Textile	Other textile	Other textile	""	keyword
Etching and aquatint with roulette and drypoint	etching and aquatint with roulette and drypoint	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
watercolor and ink on 'PM' Fabriano paper	watercolor and ink on 'pm' fabriano paper	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
Book of 10 color offset reproductions of photographs printed in four colors on white paper	book of 10 color offset reproductions of photographs printed in four colors on white paper	1	""	Photograph	Photograph (unspecified)	Photograph (unspecified)	""	keyword
Parakeet head	parakeet head	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Japanese lacquer on oak carcass	japanese lacquer on oak carcass	1	""	Decorative & other materials	Wood	Wood	""	keyword
Stencil print	stencil print	1	""	Print	Screenprints & stencils	Stencil	""	keyword
Earthenware with transfer-printed etchings and enamel colors	earthenware with transfer-printed etchings and enamel colors	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
watercolor over graphite on laid paper onlaid to a heavier mount	watercolor over graphite on laid paper onlaid to a heavier mount	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
pen and ink with graphite on off-white wove paper	pen and ink with graphite on off-white wove paper	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
Bound volume in blue cloth of forty-one etchings and drypoints	bound volume in blue cloth of forty-one etchings and drypoints	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Pen and brown ink and brown wash on blue laid paper mounted to a heavier sheet	pen and brown ink and brown wash on blue laid paper mounted to a heavier sheet	1	""	Drawing	Ink	Other ink	""	keyword
paint or enamel on copper	paint or enamel on copper	1	""	Painting	Other paint	Other paint	""	keyword
color woodcut oban diptych with embossed background	color woodcut oban diptych with embossed background	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
Cotton voile with cotton embroidery (chain stitch)	cotton voile with cotton embroidery (chain stitch)	1	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
purple pen and ink	purple pen and ink	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
Book with 16 aquatints with hand coloring	book with 16 aquatints with hand coloring	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
slit -tapestry with eccentric wefts	slit -tapestry with eccentric wefts	1	""	Textile	Other textile	Other textile	""	keyword
ink and gouache with pencil underdrawing on paper	ink and gouache with pencil underdrawing on paper	1	""	Drawing	Ink	Ink (unspecified)	""	keyword
Etching and softground	etching and softground	1	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
bromide print	bromide print	1	""	Print	Other print process	Other print process	""	keyword
portfolio with 7  etchings with aquatint on Zerkall paper	portfolio with 7  etchings with aquatint on zerkall paper	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
eight color lithograph on  paper Somerset paper	eight color lithograph on  paper somerset paper	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Program with reproductions of drawings	program with reproductions of drawings	1	""	Drawing	Other drawing media	Other drawing media	""	keyword
color aquatint and hardground and softground etching	color aquatint and hardground and softground etching	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
(a) silk devoré	(a) silk devoré	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
linocut printed in black (ant)	linocut printed in black (ant)	1	""	Print	Relief prints (woodcut, linocut)	Linocut	""	keyword
hard ground etching and drypoint on Somerset Satin White paper	hard ground etching and drypoint on somerset satin white paper	1	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Engraving from a worn plate	engraving from a worn plate	1	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
sheet with design and lettering in lithograph mounted on front	sheet with design and lettering in lithograph mounted on front	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
enameled metal and ribbon	enameled metal and ribbon	1	""	Textile	Thread & trimmings	Thread & trimmings	""	keyword
blue crayon on wrapping paper	blue crayon on wrapping paper	1	""	Drawing	Pencil, chalk & crayon	Crayon	""	keyword
and snakeskin	and snakeskin	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
black chalk under pen and black and brown inks	black chalk under pen and black and brown inks	1	""	Drawing	Ink	Brown ink	""	keyword
Coin silver including silver dollars and dimes	coin silver including silver dollars and dimes	1	""	Decorative & other materials	Precious metal (gold, silver)	Silver	""	keyword
color woodcut printed in bllue	color woodcut printed in bllue	1	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
and incised mother-of-pearl sticks and guards	and incised mother-of-pearl sticks and guards	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
olive wood	olive wood	1	""	Decorative & other materials	Wood	Wood	""	keyword
weaving	weaving	1	technique	Textile	Textile technique (weaving, embroidery)	Weaving	300053642	keyword
Pen and brown ink brown wash wash with red chalk squaring on laid paper mounted to a another sheet	pen and brown ink brown wash wash with red chalk squaring on laid paper mounted to a another sheet	1	""	Drawing	Ink	Other ink	""	keyword
textile - hessian	textile - hessian	1	""	Textile	Other textile	Other textile	""	keyword
Color lithograph with debossing	color lithograph with debossing	1	""	Print	Lithographs (planographic)	Lithograph	""	keyword
after design by Machteld Appel	after design by machteld appel	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
marquetry of sycamore	marquetry of sycamore	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
brass and glass	brass and glass	1	""	Ceramic & glass	Glass	Glass (unspecified)	""	keyword
Engraving laid onto larger sheet	engraving laid onto larger sheet	1	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
Paint and gilt on lacquered papier-mâché	paint and gilt on lacquered papier-mâché	1	""	Painting	Other paint	Other paint	""	keyword
cus cus fur	cus cus fur	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
wax-resist dyeing (stenciled and freehand )	wax-resist dyeing (stenciled and freehand )	1	""	Print	Screenprints & stencils	Stencil	""	keyword
Red beads with brass chain	red beads with brass chain	1	""	Decorative & other materials	Base metal (bronze, iron, copper)	Brass	""	keyword
Mulberry root	mulberry root	1	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
blue changeable silk taffeta	blue changeable silk taffeta	1	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
four volumes in plastic sleeve	four volumes in plastic sleeve	1	""	Decorative & other materials	Plastic & synthetic	Plastic & synthetic	""	keyword
enamel and mother-of-pearl	enamel and mother-of-pearl	1	""	Decorative & other materials	Lacquer & enamel	Lacquer & enamel	""	keyword
Spit-bite aquatint printed in graphite	spit-bite aquatint printed in graphite	1	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
graphite rubbing on paper	graphite rubbing on paper	1	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
Homegrown and hand beaten u'a (paper mulberry) painted with natural dyes (o'a and lama)	homegrown and hand beaten u'a (paper mulberry) painted with natural dyes (o'a and lama)	1	""	Painting	Other paint	Other paint	""	keyword
