token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
Color gillotage with pochoir	color gillotage with pochoir	4	""	Print	Screenprints & stencils	Pochoir	""	keyword
Color soap ground reversal with aquatint and spit bite aquatint	color soap ground reversal with aquatint and spit bite aquatint	4	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
glass buttons	glass buttons	4	""	Ceramic & glass	Glass	Glass (unspecified)	""	keyword
sand	sand	4	material	Other / unclassified	Other / unclassified	Sand	300014341	other
Etching (color) on Johannot paper	etching (color) on johannot paper	4	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
tablet weaving	tablet weaving	4	technique	Textile	Textile technique (weaving, embroidery)	Weaving	300232219	keyword
and board	and board	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
tracing paper	tracing paper	4	material	Drawing	Other drawing media	Tracing paper	300014161	aat
weft-float patterning	weft-float patterning	4	""	Textile	Other textile	Other textile	""	keyword
brown ink and watercolor wash over graphite	brown ink and watercolor wash over graphite	4	""	Drawing	Ink	Other ink	""	keyword
silk faille	silk faille	4	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Black wool crepe	black wool crepe	4	""	Textile	Natural fiber (silk, wool, cotton)	Wool	""	keyword
Carved and incised ivory sticks and guards	carved and incised ivory sticks and guards	4	""	Sculpture	Other sculpture material	Other sculpture material	""	keyword
binder's stamp on front doublure	binder's stamp on front doublure	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
lurex	lurex	4	material	Textile	Other textile	Lurex	300264267	aat
Lacquered chromogenic print	lacquered chromogenic print	4	""	Photograph	Chromogenic / C print	Chromogenic / C print	""	keyword
Color lithograph (poster)	color lithograph (poster)	4	""	Print	Lithographs (planographic)	Lithograph	""	keyword
silver gelatin print on Ilford paper	silver gelatin print on ilford paper	4	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
etching and soft-ground etching	etching and soft-ground etching	4	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
black ink on letterhead	black ink on letterhead	4	""	Drawing	Ink	Black ink	""	keyword
Pen and ink and color wash on blue paper	pen and ink and color wash on blue paper	4	""	Drawing	Ink	Ink (unspecified)	""	keyword
ink wash and graphite on paper	ink wash and graphite on paper	4	""	Drawing	Ink	Ink (unspecified)	""	keyword
terracotta mounted on wooden socles	terracotta mounted on wooden socles	4	""	Ceramic & glass	Earthenware & stoneware	Terracotta	""	keyword
Etching on Johannot paper	etching on johannot paper	4	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
newsprint	newsprint	4	material	Textile	Other textile	Newsprint	300014137	aat
cut and voided velvet	cut and voided velvet	4	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
suede and leather	suede and leather	4	""	Decorative & other materials	Animal material (ivory, bone, leather)	Leather / hide	""	keyword
hand woven with self fringe	hand woven with self fringe	4	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
pen and black	pen and black	4	""	Drawing	Ink	Other ink	""	keyword
Soft ground etching with scraping	soft ground etching with scraping	4	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
cloth covered slipcase	cloth covered slipcase	4	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
Color aquatint and spitbite aquatint.	color aquatint and spitbite aquatint.	4	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
Engravng	engravng	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Mixed media on canvas	mixed media on canvas	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
graphite and charcoal on paper	graphite and charcoal on paper	4	""	Drawing	Pencil, chalk & crayon	Other dry media	""	keyword
velvet ribbon	velvet ribbon	4	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
gilded mother-of-pearl sticks and guards	gilded mother-of-pearl sticks and guards	4	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
(b) cotton	(b) cotton	4	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
and fiber	and fiber	4	""	Textile	Other textile	Other textile	""	keyword
tortoise shell and fiber	tortoise shell and fiber	4	""	Textile	Other textile	Other textile	""	keyword
tulipwood	tulipwood	4	material	Decorative & other materials	Other material	Tulipwood	300012469	aat
shell and cord	shell and cord	4	""	Decorative & other materials	Animal material (ivory, bone, leather)	Shell	""	keyword
lithograph print on handmade paper	lithograph print on handmade paper	4	""	Print	Lithographs (planographic)	Lithograph	""	keyword
3 color lithograph	3 color lithograph	4	""	Print	Lithographs (planographic)	Lithograph	""	keyword
vitreograph print from glass plate	vitreograph print from glass plate	4	""	Print	Other print process	Other print process	""	keyword
Woodcut printed in olive green	woodcut printed in olive green	4	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
cotton crochet	cotton crochet	4	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
aquatint and mezzotint printed in brown ink	aquatint and mezzotint printed in brown ink	4	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
beading	beading	4	technique	Other / unclassified	Other / unclassified	Beading	300235440	other
silk thread	silk thread	4	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
polychrome ceramic	polychrome ceramic	4	""	Ceramic & glass	Other ceramic	Other ceramic	""	keyword
color spit bite and sugar lift aquatint on gampi paper chine colle	color spit bite and sugar lift aquatint on gampi paper chine colle	4	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
